"","files","authors","commits","days","conflicts","complex","bic"
"37",161,10,69,24,1,"TRUE","FALSE"
"106",17,3,4,3,1,"FALSE","FALSE"
"138",307,29,57,4,1,"TRUE","TRUE"
"141",207,20,50,12,1,"TRUE","FALSE"
"154",881,25,77,5,9,"TRUE","TRUE"
"155",657,48,156,4,13,"TRUE","FALSE"
"157",1002,32,176,16,2,"TRUE","FALSE"
"160",160,9,23,3,2,"TRUE","FALSE"
"164",306,25,107,5,7,"TRUE","TRUE"
"170",367,20,85,11,3,"TRUE","FALSE"
"172",2310,47,529,75,8,"TRUE","FALSE"
"173",352,12,57,7,2,"TRUE","FALSE"
"194",984,55,371,3,6,"TRUE","TRUE"
"195",235,15,57,1,1,"TRUE","FALSE"
"200",2243,13,40,1,12,"TRUE","TRUE"
"211",235,10,27,3,1,"TRUE","FALSE"
"213",295,6,27,0,1,"TRUE","FALSE"
"219",212,32,133,3,10,"TRUE","TRUE"
"227",588,24,129,12,2,"TRUE","FALSE"
"229",288,25,112,3,1,"TRUE","FALSE"
"232",364,33,110,4,2,"TRUE","FALSE"
"234",1648,80,494,50,21,"TRUE","TRUE"
"239",1467,36,116,13,12,"TRUE","TRUE"
"241",2249,8,331,121,33,"TRUE","FALSE"
"243",106,6,58,7,1,"TRUE","TRUE"
"264",282,11,40,2,1,"TRUE","FALSE"
"282",892,44,243,18,1,"TRUE","FALSE"
"288",145,10,34,1,2,"TRUE","TRUE"
"291",72,5,12,1,1,"TRUE","FALSE"
"292",627,35,134,7,1,"TRUE","TRUE"
"310",1376,32,118,13,2,"TRUE","FALSE"
"311",384,27,75,18,5,"TRUE","TRUE"
"316",1797,50,375,42,1,"TRUE","TRUE"
"318",1190,70,386,15,4,"TRUE","TRUE"
"328",805,27,184,13,2,"TRUE","FALSE"
"338",2573,33,125,6,1,"TRUE","TRUE"
"341",317,43,156,6,2,"TRUE","FALSE"
"369",231,9,55,1,1,"TRUE","FALSE"
"370",817,47,144,24,20,"TRUE","FALSE"
"387",302,16,27,4,1,"TRUE","FALSE"
"389",1206,77,422,7,8,"TRUE","TRUE"
"393",215,16,43,5,1,"TRUE","FALSE"
"431",574,20,51,7,9,"TRUE","FALSE"
"435",244,18,54,2,2,"TRUE","FALSE"
"445",294,17,61,1,2,"TRUE","FALSE"
"447",2774,104,705,56,96,"TRUE","TRUE"
"455",315,19,48,5,5,"TRUE","FALSE"
"458",1425,82,468,22,17,"TRUE","TRUE"
"461",161,19,82,5,1,"TRUE","TRUE"
"477",10306,109,1597,185,917,"TRUE","TRUE"
"482",263,39,136,2,3,"TRUE","FALSE"
"489",139,37,123,2,1,"TRUE","FALSE"
"499",43,7,15,3,1,"TRUE","FALSE"
"501",207,10,69,0,3,"TRUE","FALSE"
"510",875,28,135,24,2,"TRUE","FALSE"
"512",416,34,109,4,2,"TRUE","FALSE"
"525",329,28,55,6,1,"TRUE","TRUE"
"530",309,9,54,3,5,"TRUE","TRUE"
"534",206,29,126,0,3,"TRUE","TRUE"
"537",251,18,63,4,1,"TRUE","TRUE"
"540",180,23,89,6,2,"TRUE","TRUE"
"541",947,50,366,2,2,"TRUE","FALSE"
"552",1841,32,140,9,1,"TRUE","FALSE"
"561",845,41,226,13,2,"TRUE","FALSE"
"581",257,16,72,1,1,"TRUE","FALSE"
"582",20,2,2,16,1,"FALSE","FALSE"
"601",314,6,33,0,1,"TRUE","TRUE"
"608",617,28,164,9,3,"TRUE","FALSE"
"632",125,17,51,94,2,"TRUE","FALSE"
"640",111,18,45,699,1,"TRUE","FALSE"
"649",386,7,34,100,1,"TRUE","FALSE"
"735",1431,90,1248,82,1,"TRUE","FALSE"
"949",673,85,1011,29,1,"TRUE","FALSE"
"1003",334,51,299,14,1,"TRUE","FALSE"
"1145",140,24,72,5,1,"TRUE","FALSE"
"1401",162,18,67,2,4,"TRUE","FALSE"
"1540",2579,106,1130,70,1,"TRUE","FALSE"
"1545",1139,108,877,57,1,"TRUE","FALSE"
"1831",490,20,209,36,1,"TRUE","FALSE"
"1934",34,16,22,4,1,"FALSE","FALSE"
"2049",466,26,107,98,4,"TRUE","FALSE"
"2050",854,86,581,124,4,"TRUE","FALSE"
"2074",182,17,110,4,1,"TRUE","FALSE"
"2152",1048,71,1047,45,1,"TRUE","FALSE"
"2667",1030,89,914,39,2,"TRUE","FALSE"
"3101",2219,113,1770,42,1,"TRUE","FALSE"
"3283",1941,156,2643,98,1,"TRUE","FALSE"
"3422",4397,479,15629,86,5,"TRUE","FALSE"
"3570",6,4,5,2,1,"FALSE","FALSE"
"3599",27,4,8,4,1,"FALSE","FALSE"
"3973",68,2,4,0,1,"FALSE","FALSE"
"4071",862,89,1242,29,11,"TRUE","FALSE"
"4191",179,12,35,2,1,"TRUE","FALSE"
"4733",2386,141,2546,180,23,"TRUE","FALSE"
"5014",458,45,306,104,7,"TRUE","FALSE"
"5040",919,70,672,14,1,"TRUE","FALSE"
"5150",2259,67,712,77,246,"TRUE","FALSE"
"5208",134,24,54,5,1,"TRUE","FALSE"
"5383",313,67,428,13,1,"TRUE","FALSE"
"5486",78,12,25,2,2,"TRUE","FALSE"
"5536",359,29,101,22,1,"TRUE","FALSE"
"6043",3,4,12,1,1,"FALSE","FALSE"
"6232",64,17,45,2,1,"FALSE","FALSE"
"6279",848,16,77,10,2,"TRUE","FALSE"
"6321",1165,65,933,57,88,"TRUE","FALSE"
"6442",2,3,4,15,1,"FALSE","FALSE"
"6719",222,21,45,26,1,"FALSE","FALSE"
"6860",4087,466,15750,9,2,"TRUE","FALSE"
"7180",2360,119,2502,124,1,"TRUE","FALSE"
"7185",153,28,64,6,2,"TRUE","FALSE"
"7213",120,16,34,2,1,"TRUE","FALSE"
"7366",479,26,136,9,2,"TRUE","FALSE"
"7435",454,42,142,7,2,"TRUE","TRUE"
"7445",2855,166,2934,110,1,"TRUE","FALSE"
"8022",430,7,44,2,10,"TRUE","FALSE"
